epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.575,0.95014,2.20553,1.44486,0.8523,0.6899,0.82165,0.63502,0.7928,0.83343,1.43291,0.00332456,0.00332456,0.00332456
2,239.673,0.81119,1.04601,1.2941,0.75586,0.83482,0.87924,0.67808,0.82759,0.7464,1.50079,0.00662494,0.00662494,0.00662494
3,359.935,0.84524,1.04542,1.30968,0.64757,0.77456,0.75559,0.56336,0.90396,1.05769,1.67952,0.00989231,0.00989231,0.00989231
4,479.899,0.87874,1.11139,1.33886,0.67429,0.69795,0.73586,0.5444,0.87324,1.1501,1.56004,0.0098515,0.0098515,0.0098515
5,599.821,0.8544,1.04652,1.31176,0.86149,0.78079,0.85919,0.68854,0.75593,0.7275,1.42701,0.009802,0.009802,0.009802
6,720.108,0.81453,0.98874,1.28391,0.82667,0.79158,0.86758,0.67779,0.80417,0.7679,1.47821,0.0097525,0.0097525,0.0097525
7,841.051,0.80244,0.93724,1.26884,0.76263,0.82757,0.86877,0.68417,0.76155,0.71981,1.41714,0.009703,0.009703,0.009703
8,961.612,0.77908,0.89092,1.25416,0.87213,0.84208,0.89953,0.71333,0.75142,0.66107,1.40857,0.0096535,0.0096535,0.0096535
9,1082.15,0.76833,0.87256,1.2489,0.76771,0.86372,0.88116,0.70249,0.74989,0.71872,1.39827,0.009604,0.009604,0.009604
10,1203.32,0.75929,0.85247,1.23813,0.86329,0.78477,0.87743,0.71673,0.70031,0.64877,1.32984,0.0095545,0.0095545,0.0095545
11,1324,0.73992,0.81102,1.22414,0.80017,0.89676,0.88277,0.71246,0.73347,0.63924,1.38226,0.009505,0.009505,0.009505
12,1444.32,0.737,0.80418,1.22611,0.78219,0.85736,0.88435,0.7195,0.71908,0.59683,1.36507,0.0094555,0.0094555,0.0094555
